year;onshore;PV;coal;CCGT;TAC;river;lake;step;nuc_hist;nuc_retrofit;nuc_new
2015;1840;1320;1700;1000;500;3900;2650;2650;6600;6600;6600
2016;1828;1264;1700;1000;500;3900;2650;2650;6480;6480;6480
2017;1816;1208;1700;1000;500;3900;2650;2650;6360;6360;6360
2018;1804;1152;1700;1000;500;3900;2650;2650;6240;6240;6240
2019;1792;1096;1700;1000;500;3900;2650;2650;6120;6120;6120
2020;1780;1040;1700;1000;500;3900;2650;2650;6000;6000;6000
2021;1774;1022;1700;1000;500;3900;2650;2650;5910;5910;5910
2022;1768;1004;1700;1000;500;3900;2650;2650;5820;5820;5820
2023;1762;986;1700;1000;500;3900;2650;2650;5730;5730;5730
2024;1756;968;1700;1000;500;3900;2650;2650;5640;5640;5640
2025;1750;950;1700;1000;500;3900;2650;2650;5550;5550;5550
2026;1744;932;1700;1000;500;3900;2650;2650;5460;5460;5460
2027;1738;914;1700;1000;500;3900;2650;2650;5370;5370;5370
2028;1732;896;1700;1000;500;3900;2650;2650;5280;5280;5280
2029;1726;878;1700;1000;500;3900;2650;2650;5190;5190;5190
2030;1720;860;1700;1000;500;3900;2650;2650;5100;5100;5100
2031;1716;852;1700;1000;500;3900;2650;2650;5040;5040;5040
2032;1712;844;1700;1000;500;3900;2650;2650;4980;4980;4980
2033;1708;836;1700;1000;500;3900;2650;2650;4920;4920;4920
2034;1704;828;1700;1000;500;3900;2650;2650;4860;4860;4860
2035;1700;820;1700;1000;500;3900;2650;2650;4800;4800;4800
2036;1696;812;1700;1000;500;3900;2650;2650;4740;4740;4740
2037;1692;804;1700;1000;500;3900;2650;2650;4680;4680;4680
2038;1688;796;1700;1000;500;3900;2650;2650;4620;4620;4620
2039;1684;788;1700;1000;500;3900;2650;2650;4560;4560;4560
2040;1680;780;1700;1000;500;3900;2650;2650;4500;4500;4500
2041;1680;780;1700;1000;500;3900;2650;2650;4500;4500;4500
2042;1680;780;1700;1000;500;3900;2650;2650;4500;4500;4500
2043;1680;780;1700;1000;500;3900;2650;2650;4500;4500;4500
2044;1680;780;1700;1000;500;3900;2650;2650;4500;4500;4500
2045;1680;780;1700;1000;500;3900;2650;2650;4500;4500;4500
2046;1680;780;1700;1000;500;3900;2650;2650;4500;4500;4500
2047;1680;780;1700;1000;500;3900;2650;2650;4500;4500;4500
2048;1680;780;1700;1000;500;3900;2650;2650;4500;4500;4500
2049;1680;780;1700;1000;500;3900;2650;2650;4500;4500;4500
2050;1680;780;1700;1000;500;3900;2650;2650;4500;4500;4500
# Capex per type of plant;;;;;;;;;;;
# Unit: $2015 per kW;;;;;;;;;;;
# Source: WEO 2016, investment costs;;;;;;;;;;;
# Additional comments: Coal subcritical, PV large scale;;;;;;;;;;;
