year;onshore;PV;coal;CCGT;TAC;river;lake;step;nuc_hist;nuc_retrofit;nuc_new
2015;1;1;0,39;0,59;0,41;1;1;1;1;1;1
2016;1;1;0,39;0,59;0,41;1;1;1;1;1;1
2017;1;1;0,39;0,59;0,41;1;1;1;1;1;1
2018;1;1;0,39;0,59;0,41;1;1;1;1;1;1
2019;1;1;0,39;0,59;0,41;1;1;1;1;1;1
2020;1;1;0,39;0,59;0,41;1;1;1;1;1;1
2021;1;1;0,39;0,591;0,41;1;1;1;1;1;1
2022;1;1;0,39;0,592;0,41;1;1;1;1;1;1
2023;1;1;0,39;0,593;0,41;1;1;1;1;1;1
2024;1;1;0,39;0,594;0,41;1;1;1;1;1;1
2025;1;1;0,39;0,595;0,41;1;1;1;1;1;1
2026;1;1;0,39;0,596;0,41;1;1;1;1;1;1
2027;1;1;0,39;0,597;0,41;1;1;1;1;1;1
2028;1;1;0,39;0,598;0,41;1;1;1;1;1;1
2029;1;1;0,39;0,599;0,41;1;1;1;1;1;1
2030;1;1;0,39;0,6;0,41;1;1;1;1;1;1
2031;1;1;0,39;0,601;0,41;1;1;1;1;1;1
2032;1;1;0,39;0,602;0,41;1;1;1;1;1;1
2033;1;1;0,39;0,603;0,41;1;1;1;1;1;1
2034;1;1;0,39;0,604;0,41;1;1;1;1;1;1
2035;1;1;0,39;0,605;0,41;1;1;1;1;1;1
2036;1;1;0,39;0,606;0,41;1;1;1;1;1;1
2037;1;1;0,39;0,607;0,41;1;1;1;1;1;1
2038;1;1;0,39;0,608;0,41;1;1;1;1;1;1
2039;1;1;0,39;0,609;0,41;1;1;1;1;1;1
2040;1;1;0,39;0,61;0,41;1;1;1;1;1;1
2041;1;1;0,39;0,61;0,41;1;1;1;1;1;1
2042;1;1;0,39;0,61;0,41;1;1;1;1;1;1
2043;1;1;0,39;0,61;0,41;1;1;1;1;1;1
2044;1;1;0,39;0,61;0,41;1;1;1;1;1;1
2045;1;1;0,39;0,61;0,41;1;1;1;1;1;1
2046;1;1;0,39;0,61;0,41;1;1;1;1;1;1
2047;1;1;0,39;0,61;0,41;1;1;1;1;1;1
2048;1;1;0,39;0,61;0,41;1;1;1;1;1;1
2049;1;1;0,39;0,61;0,41;1;1;1;1;1;1
2050;1;1;0,39;0,61;0,41;1;1;1;1;1;1
# Efficiency per type of plant;;;;;;;;;;;
# Unit: NA;;;;;;;;;;;
# Source: WEO 2016, investment costs;;;;;;;;;;;
# Link: http://www.worldenergyoutlook.org/weomodel/investmentcosts/;;;;;;;;;;;
# Additional comments: Coal subcritical, PV large scale;;;;;;;;;;;
# For nuclear, we take one as the efficiency here measure the ratio economic ratio, not the technical one (and our cost value for nuclear fuel are in euro/MWh and already include the losses). The technical ratio would be 0.33;;;;;;;;;;;
