year;onshore;PV;coal;CCGT;TAC;river;lake;step;nuc_hist;nuc_retrofit;nuc_new
2015;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2016;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2017;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2018;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2019;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2020;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2021;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2022;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2023;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2024;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2025;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2026;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2027;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2028;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2029;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2030;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2031;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2032;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2033;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2034;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2035;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2036;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2037;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2038;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2039;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2040;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2041;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2042;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2043;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2044;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2045;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2046;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2047;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2048;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2049;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
2050;0;0;10,28268593;25,25175;25,25175;0;0;0;7,3;7,3;7,3
# Unit: euro_MWh;;;;;;;;;;;
