Index;MedD;LowD;HighD
y2014;1;1;1
y2015;1,000437828;0,988819648;1,01026245
y2016;1,000875657;0,977639296;1,020524899
y2017;1,001313485;0,966458944;1,030787349
y2018;1,001751313;0,955278592;1,041049798
y2019;1,002189142;0,94409824;1,051312248
y2020;1,00262697;0,932917889;1,061574697
y2021;1,003064799;0,921737537;1,071837147
y2022;1,003502627;0,910557185;1,082099596
y2023;1,003940455;0,899376833;1,092362046
y2024;1,004378284;0,888196481;1,102624495
y2025;1,004816112;0,877016129;1,112886945
y2026;1,00525394;0,865835777;1,123149394
y2027;1,005691769;0,854655425;1,133411844
y2028;1,006129597;0,843475073;1,143674293
y2029;1,006567426;0,832294721;1,153936743
y2030;1,007005254;0,82111437;1,164199192
y2031;1,008844133;0,819556452;1,18051817
y2032;1,010683012;0,817998534;1,196837147
y2033;1,012521891;0,816440616;1,213156124
y2034;1,014360771;0,814882698;1,229475101
y2035;1,01619965;0,81332478;1,245794078
y2036;1,018038529;0,811766862;1,262113055
y2037;1,019877408;0,810208944;1,278432032
y2038;1,021716287;0,808651026;1,294751009
y2039;1,023555166;0,807093109;1,311069987
y2040;1,025394046;0,805535191;1,327388964
y2041;1,027232925;0,803977273;1,343707941
y2042;1,029071804;0,802419355;1,360026918
y2043;1,030910683;0,800861437;1,376345895
y2044;1,032749562;0,799303519;1,392664872
y2045;1,034588441;0,797745601;1,408983849
y2046;1,03642732;0,796187683;1,425302826
y2047;1,0382662;0,794629765;1,441621803
y2048;1,040105079;0,793071848;1,457940781
y2049;1,041943958;0,79151393;1,474259758
y2050;1,043782837;0,789956012;1,490578735
