Date;Heure;Prevision J-1;Prevision J
01/01/2015;00:00;0;NA
01/01/2015;01:00;0;NA
01/01/2015;02:00;0;NA
01/01/2015;03:00;0;NA
01/01/2015;04:00;0;NA
01/01/2015;05:00;0;NA
01/01/2015;06:00;0;NA
01/01/2015;07:00;0;0
01/01/2015;08:00;0;0
01/01/2015;09:00;110,66;109,84
01/01/2015;10:00;682,74;693,17
01/01/2015;11:00;1363,39;1393,81
01/01/2015;12:00;1795,38;1809,8
01/01/2015;13:00;1903,22;1914,47
01/01/2015;14:00;1675,49;1682,36
01/01/2015;15:00;1143,41;1153,86
01/01/2015;16:00;438,44;444,74
01/01/2015;17:00;23,93;24,32
01/01/2015;18:00;0;0
01/01/2015;19:00;0;0
01/01/2015;20:00;0;0
01/01/2015;21:00;0;0
01/01/2015;22:00;0;0
01/01/2015;23:00;0;0
02/01/2015;00:00;0;NA
02/01/2015;01:00;0;NA
02/01/2015;02:00;0;NA
02/01/2015;03:00;0;NA
02/01/2015;04:00;0;NA
02/01/2015;05:00;0;NA
02/01/2015;06:00;0;NA
02/01/2015;07:00;0;0
02/01/2015;08:00;0;0
02/01/2015;09:00;104,42;104,79
02/01/2015;10:00;607,92;616,54
02/01/2015;11:00;1171,16;1179,44
02/01/2015;12:00;1502,97;1538,39
02/01/2015;13:00;1580,2;1637,6
02/01/2015;14:00;1393,79;1408,02
02/01/2015;15:00;935,07;951,36
02/01/2015;16:00;356,84;360,31
02/01/2015;17:00;20,26;19,42
02/01/2015;18:00;0;0
02/01/2015;19:00;0;0
02/01/2015;20:00;0;0
02/01/2015;21:00;0;0
02/01/2015;22:00;0;0
02/01/2015;23:00;0;0
03/01/2015;00:00;0;NA
03/01/2015;01:00;0;NA
03/01/2015;02:00;0;NA
03/01/2015;03:00;0;NA
03/01/2015;04:00;0;NA
03/01/2015;05:00;0;NA
03/01/2015;06:00;0;NA
03/01/2015;07:00;0;0
03/01/2015;08:00;0;0
03/01/2015;09:00;92,39;96,01
