Year;evolution
2015;1
2016;1,016779671
2017;1,038594588
2018;1,060409506
2019;1,082224424
2020;1,104039341
2021;1,125854259
2022;1,147669176
2023;1,169484094
2024;1,191299011
2025;1,213113929
2026;1,234928847
2027;1,256743764
2028;1,278558682
2029;1,300373599
2030;1,322188517
2031;1,344003434
2032;1,365818352
2033;1,387633269
2034;1,409448187
2035;1,431263105
2036;1,453078022
2037;1,47489294
2038;1,496707857
2039;1,518522775
2040;1,540337692
2041;1,56215261
2042;1,583967527
2043;1,605782445
2044;1,627597363
2045;1,64941228
2046;1,671227198
2047;1,693042115
2048;1,714857033
2049;1,73667195
2050;1,758486868
# Units: MW;
